question_id,subject,topic,source_type,bar_year,bar_item_no,essay_question,source_url,difficulty,content_status,last_updated,author,reviewer
LABOR-001,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-002,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-003,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-004,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-005,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-006,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-007,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-008,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-009,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-010,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-011,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-012,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-013,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-014,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-015,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-016,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-017,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-018,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-019,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-020,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-021,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-022,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-023,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-024,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-025,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-026,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-027,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-028,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-029,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
LABOR-030,Labor Law and Social Legislation,,UNVERIFIED,,,,,Medium,DRAFT,,,
