answer_id,question_id,suggested_answer,answer_source_url,rights_note,content_status,last_updated,author,reviewer
ANSWER-LABOR-001,LABOR-001,,,,DRAFT,,,
ANSWER-LABOR-002,LABOR-002,,,,DRAFT,,,
ANSWER-LABOR-003,LABOR-003,,,,DRAFT,,,
ANSWER-LABOR-004,LABOR-004,,,,DRAFT,,,
ANSWER-LABOR-005,LABOR-005,,,,DRAFT,,,
ANSWER-LABOR-006,LABOR-006,,,,DRAFT,,,
ANSWER-LABOR-007,LABOR-007,,,,DRAFT,,,
ANSWER-LABOR-008,LABOR-008,,,,DRAFT,,,
ANSWER-LABOR-009,LABOR-009,,,,DRAFT,,,
ANSWER-LABOR-010,LABOR-010,,,,DRAFT,,,
ANSWER-LABOR-011,LABOR-011,,,,DRAFT,,,
ANSWER-LABOR-012,LABOR-012,,,,DRAFT,,,
ANSWER-LABOR-013,LABOR-013,,,,DRAFT,,,
ANSWER-LABOR-014,LABOR-014,,,,DRAFT,,,
ANSWER-LABOR-015,LABOR-015,,,,DRAFT,,,
ANSWER-LABOR-016,LABOR-016,,,,DRAFT,,,
ANSWER-LABOR-017,LABOR-017,,,,DRAFT,,,
ANSWER-LABOR-018,LABOR-018,,,,DRAFT,,,
ANSWER-LABOR-019,LABOR-019,,,,DRAFT,,,
ANSWER-LABOR-020,LABOR-020,,,,DRAFT,,,
ANSWER-LABOR-021,LABOR-021,,,,DRAFT,,,
ANSWER-LABOR-022,LABOR-022,,,,DRAFT,,,
ANSWER-LABOR-023,LABOR-023,,,,DRAFT,,,
ANSWER-LABOR-024,LABOR-024,,,,DRAFT,,,
ANSWER-LABOR-025,LABOR-025,,,,DRAFT,,,
ANSWER-LABOR-026,LABOR-026,,,,DRAFT,,,
ANSWER-LABOR-027,LABOR-027,,,,DRAFT,,,
ANSWER-LABOR-028,LABOR-028,,,,DRAFT,,,
ANSWER-LABOR-029,LABOR-029,,,,DRAFT,,,
ANSWER-LABOR-030,LABOR-030,,,,DRAFT,,,
